station_id,name,short_name,lat,lon,region_id,capacity
132,24th St at Chattanooga St,SF-Q21-2,37.7518194,-122.4266139,3,19
133,Valencia St at 22nd St,SF-Q22-1,37.7552126,-122.4209752,3,23
134,Valencia St at 24th St,SF-Q22-2,37.7524278,-122.4206278,3,23
135,24th St Mission BART,SF-Q23,37.7521391,-122.4188113,3,0
137,Jersey St at Castro St,SF-R19,37.750506,-122.4339496,3,19
138,Jersey St at Church St,SF-R20,37.7509004,-122.4274114,3,19
139,Garfield Square (25th St at Harrison St),SF-R24,37.7510171,-122.4119009,3,23
140,Cesar Chavez St at Dolores St,SF-S21,37.7478584,-122.4249863,3,15
141,Valencia St at Cesar Chavez St,SF-S22-1,37.7479981,-122.4202187,3,19
144,Precita Park,SF-S24,37.7472996,-122.4114029,3,15
145,29th St at Church St,SF-T20,37.7436839,-122.4268059,3,15
146,30th St at San Jose Ave,SF-T21,37.7423139,-122.4231805,3,15
147,29th St at Tiffany Ave,SF-T22,37.7440667,-122.4214722,3,14
223,16th St Mission BART Station 2,SF-N22-1B,37.7647652154977,-122.42009103298186,3,19
284,Yerba Buena Center for the Arts (Howard St at 3rd St),SF-H27-1,37.78487208436062,-122.40087568759917,3,19
285,Webster St at O'Farrell St,SF-H20,37.78352083526095,-122.43115782737732,3,27
321,5th at Folsom,SF-I27,37.78014570345598,-122.40307085237873,3,31
323,Broadway at Kearny,SF-C26,37.79801364395978,-122.40595042705534,3,19
324,Union Square (Powell St at Post St),SF-F26,37.788299978150825,-122.40853071212767,3,27
336,Potrero Ave and Mariposa St,SF-N26,37.76328094058097,-122.4073773622513,3,27
343,Bryant St at 2nd St,SF I29-1,37.783171989315306,-122.39357203245163,3,27
345,Hubbell St at 16th St,SF-M28,37.76647421515012,-122.39829540252686,3,27
